台灣新聞,#genre#

壹新聞,http://60.251.59.180:8501/.m3u8
壹新聞,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8

TVBS新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=31
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8

民視新聞,http://tv.redrainl.site:9500/live.m3u8?c=01
民視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8

三立新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=23
三立新聞,http://60.251.59.180:8506/ch18.m3u8
三立新聞,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8

三立財經,http://140.238.155.232:9000/jmsytb.m3u8?c=22
三立財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立財經,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/setinews.m3u8

中天新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=24
中天新聞,http://tv.redrainl.site:9500/live.m3u8?c=03
中天新聞,https://raw.github.com/SSM0415/apptest/YTlive/CTI.m3u8

東森新聞,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8

東森財經,http://140.238.155.232:9000/jmsytb.m3u8?c=35
東森財經,http://140.238.155.232:9000/jmsytb.m3u8?c=36
東森財經,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
東森財經,https://raw.github.com/SSM0415/apptest/YTlive/EBCFinancialNews.m3u8

華視新聞,http://218.32.47.179:8538/http/192.168.1.9:8081/hls/61/803/ch03.m3u8
華視新聞,http://stream.dsichannel.com:80/hls/cts-news.m3u8

中視新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=25
中視新聞,http://tv.redrainl.site:9500/live.m3u8?c=02
中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8

台視新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=26
台視新聞,http://tv.redrainl.site:9500/live.m3u8?c=11
台視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視新聞,https://raw.github.com/SSM0415/apptest/YTlive/TTVnews.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8

寰宇新聞,http://140.238.155.232:9000/jmsytb.m3u8?c=27
寰宇新聞,http://tv.redrainl.site:9500/live.m3u8?c=22
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
