央视频道,#genre#
CCTV-1综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合[1280*720],http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1综合[1280*720],http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1综合[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1综合[1047*576],http://111.20.33.93/TVOD/88888893/224/3221226239/index.m3u8
CCTV-1综合[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-2财经[785*576],http://111.40.196.9/PLTV/88888888/224/3221225488/index.m3u8
CCTV-2财经[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2财经[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226224/index.m3u8
CCTV-2财经[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3综艺[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878271
CCTV-3综艺[1280*720],http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV-4中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4中文国际[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4中文国际[785*576],http://111.40.196.9/PLTV/88888888/224/3221225490/index.m3u8
CCTV-4中文国际[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV-4中文国际[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
CCTV-5体育[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV-5+体育赛事[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878396
CCTV-7国防军事[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7国防军事[982*540],http://111.40.196.9/PLTV/88888888/224/3221225563/index.m3u8
CCTV-7国防军事[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226192/index.m3u8
CCTV-7国防军事[1047*576],http://111.20.33.93/TVOD/88888893/224/3221226248/index.m3u8
CCTV-7国防军事[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168121
CCTV-8电视剧[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8电视剧[1280*720],http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV-8电视剧[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226391/index.m3u8
CCTV-8电视剧[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-9纪录[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9记录[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226197/index.m3u8
CCTV-10科教[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878405
CCTV-10科教[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226189/index.m3u8
CCTV-11戏曲[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11戏曲[768*576][1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226240/index.m3u8
CCTV-12社会与法[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12社会与法[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226190/index.m3u8
CCTV-12社会与法[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13新闻[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻[1920*1080],http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226193/index.m3u8
CCTV-14少儿[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878440
CCTV-15音乐[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15音乐[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168223
CCTV-16奥林匹克[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226921/index.m3u8
CCTV-16奥林匹克[1920*1080],http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-17农业农村[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村[1920*1080],http://111.20.33.93/TVOD/88888893/224/3221226198/index.m3u8
CCTV-17农业农村[1047*576],http://111.20.33.93/TVOD/88888893/224/3221226208/index.m3u8
CCTV-17农业农村[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业农村[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/673168256
CCTV4K蓝光[3840*2160],http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV-世界地理,117.148.179.147/PLTV/88888888/224/3221231537/index.m3u8
清华大学电视台[1920*1080],http://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
CNC中文[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC英文[1280*720],http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
新闻频道,#genre#
CCTV-13新闻[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
三明新闻综合[1280*720],http://stream.smntv.cn/smtv1/sd/live.m3u8
上虞1新闻综合[1920*1080],http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
东至新闻综合[1280*720],http://223.247.33.124:1935/live/zonghe/playlist.m3u8
浙江新闻[640*360],http://hw-m-l.cztv.com/channels/lantian/channel07/360p.m3u8
浙江新闻[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江新闻[1280*720],http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
武进新闻频道[1024*576],http://live.wjyanghu.com/live/CH1.m3u8
南京新闻综合[1280*720],http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京新闻综合[1280*720],http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
